category,month,count
cs.LG,2019-01,1100
cs.LG,2019-02,1217
cs.LG,2019-03,1076
cs.LG,2019-04,1385
cs.LG,2019-05,2003
cs.LG,2019-06,1863
cs.LG,2019-07,1589
cs.LG,2019-08,1311
cs.LG,2019-09,1758
cs.LG,2019-10,2234
cs.LG,2019-11,2015
cs.LG,2019-12,1712
cs.LG,2020-01,1402
cs.LG,2020-02,2186
cs.LG,2020-03,1876
cs.LG,2020-04,1984
cs.LG,2020-05,1861
cs.LG,2020-06,3312
cs.LG,2020-07,2419
cs.LG,2020-08,1783
cs.LG,2020-09,1832
cs.LG,2020-10,2851
cs.LG,2020-11,2185
cs.LG,2020-12,2210
cs.LG,2021-01,1597
cs.LG,2021-02,2262
cs.LG,2021-03,2268
cs.LG,2021-04,2033
cs.LG,2021-05,2033
cs.LG,2021-06,3061
cs.LG,2021-07,2033
cs.LG,2021-08,1701
cs.LG,2021-09,2134
cs.LG,2021-10,2868
cs.LG,2021-11,2350
cs.LG,2021-12,2181
cs.LG,2022-01,1877
cs.LG,2022-02,2490
cs.LG,2022-03,2505
cs.LG,2022-04,1945
cs.LG,2022-05,2724
cs.LG,2022-06,2892
cs.LG,2022-07,2109
cs.LG,2022-08,1944
cs.LG,2022-09,2203
cs.LG,2022-10,3231
cs.LG,2022-11,2761
cs.LG,2022-12,2004
cs.LG,2023-01,1981
cs.LG,2023-02,2681
cs.LG,2023-03,2713
cs.LG,2023-04,2125
cs.LG,2023-05,3435
cs.LG,2023-06,3257
cs.LG,2023-07,2417
cs.LG,2023-08,2386
cs.LG,2023-09,2500
cs.LG,2023-10,3857
cs.LG,2023-11,2811
cs.LG,2023-12,2734
cs.LG,2024-01,2488
cs.LG,2024-02,3961
cs.LG,2024-03,3118
cs.LG,2024-04,2872
cs.LG,2024-05,3774
cs.LG,2024-06,3623
cs.LG,2024-07,3166
cs.LG,2024-08,2470
cs.LG,2024-09,2959
cs.LG,2024-10,4847
cs.LG,2024-11,3242
cs.LG,2024-12,3298
cs.LG,2025-01,3096
cs.LG,2025-02,4300
cs.LG,2025-03,3686
cs.LG,2025-04,3062
cs.LG,2025-05,4747
cs.LG,2025-06,4223
cs.LG,2025-07,3459
cs.LG,2025-08,3241
cs.LG,2025-09,4214
cs.LG,2025-10,4948
cs.LG,2025-11,3648
cs.LG,2025-12,3464
cs.LG,2026-01,3463
cs.LG,2026-02,4668
cs.LG,2026-03,4525
cs.LG,2026-04,3898
cs.LG,2026-05,6568
cs.LG,2026-06,5229
cs.CL,2019-01,198
cs.CL,2019-02,245
cs.CL,2019-03,249
cs.CL,2019-04,465
cs.CL,2019-05,407
cs.CL,2019-06,624
cs.CL,2019-07,407
cs.CL,2019-08,481
cs.CL,2019-09,740
cs.CL,2019-10,574
cs.CL,2019-11,624
cs.CL,2019-12,368
cs.CL,2020-01,287
cs.CL,2020-02,356
cs.CL,2020-03,365
cs.CL,2020-04,882
cs.CL,2020-05,835
cs.CL,2020-06,523
cs.CL,2020-07,399
cs.CL,2020-08,395
cs.CL,2020-09,577
cs.CL,2020-10,1278
cs.CL,2020-11,603
cs.CL,2020-12,625
cs.CL,2021-01,469
cs.CL,2021-02,441
cs.CL,2021-03,544
cs.CL,2021-04,929
cs.CL,2021-05,693
cs.CL,2021-06,910
cs.CL,2021-07,454
cs.CL,2021-08,519
cs.CL,2021-09,1111
cs.CL,2021-10,879
cs.CL,2021-11,489
cs.CL,2021-12,654
cs.CL,2022-01,453
cs.CL,2022-02,470
cs.CL,2022-03,872
cs.CL,2022-04,889
cs.CL,2022-05,1002
cs.CL,2022-06,594
cs.CL,2022-07,433
cs.CL,2022-08,455
cs.CL,2022-09,616
cs.CL,2022-10,1397
cs.CL,2022-11,920
cs.CL,2022-12,858
cs.CL,2023-01,526
cs.CL,2023-02,708
cs.CL,2023-03,727
cs.CL,2023-04,737
cs.CL,2023-05,2348
cs.CL,2023-06,1263
cs.CL,2023-07,879
cs.CL,2023-08,904
cs.CL,2023-09,1053
cs.CL,2023-10,1988
cs.CL,2023-11,1424
cs.CL,2023-12,1006
cs.CL,2024-01,1167
cs.CL,2024-02,2114
cs.CL,2024-03,1644
cs.CL,2024-04,1644
cs.CL,2024-05,1589
cs.CL,2024-06,2388
cs.CL,2024-07,1770
cs.CL,2024-08,1235
cs.CL,2024-09,1532
cs.CL,2024-10,2634
cs.CL,2024-11,1311
cs.CL,2024-12,1626
cs.CL,2025-01,1361
cs.CL,2025-02,2414
cs.CL,2025-03,1908
cs.CL,2025-04,1613
cs.CL,2025-05,2833
cs.CL,2025-06,2433
cs.CL,2025-07,1670
cs.CL,2025-08,1753
cs.CL,2025-09,2214
cs.CL,2025-10,2666
cs.CL,2025-11,1527
cs.CL,2025-12,1302
cs.CL,2026-01,2168
cs.CL,2026-02,1934
cs.CL,2026-03,2138
cs.CL,2026-04,2531
cs.CL,2026-05,2844
cs.CL,2026-06,2718
cs.CV,2019-01,681
cs.CV,2019-02,633
cs.CV,2019-03,804
cs.CV,2019-04,1309
cs.CV,2019-05,1014
cs.CV,2019-06,897
cs.CV,2019-07,1001
cs.CV,2019-08,994
cs.CV,2019-09,1073
cs.CV,2019-10,1048
cs.CV,2019-11,1040
cs.CV,2019-12,1106
cs.CV,2020-01,772
cs.CV,2020-02,902
cs.CV,2020-03,1447
cs.CV,2020-04,1334
cs.CV,2020-05,1025
cs.CV,2020-06,1397
cs.CV,2020-07,1677
cs.CV,2020-08,1327
cs.CV,2020-09,1146
cs.CV,2020-10,1352
cs.CV,2020-11,1438
cs.CV,2020-12,1512
cs.CV,2021-01,991
cs.CV,2021-02,935
cs.CV,2021-03,1905
cs.CV,2021-04,1648
cs.CV,2021-05,1335
cs.CV,2021-06,1628
cs.CV,2021-07,1310
cs.CV,2021-08,1505
cs.CV,2021-09,1299
cs.CV,2021-10,1562
cs.CV,2021-11,1539
cs.CV,2021-12,1570
cs.CV,2022-01,1140
cs.CV,2022-02,1151
cs.CV,2022-03,2274
cs.CV,2022-04,1566
cs.CV,2022-05,1496
cs.CV,2022-06,1592
cs.CV,2022-07,1919
cs.CV,2022-08,1522
cs.CV,2022-09,1542
cs.CV,2022-10,1971
cs.CV,2022-11,2001
cs.CV,2022-12,1469
cs.CV,2023-01,1138
cs.CV,2023-02,1335
cs.CV,2023-03,2771
cs.CV,2023-04,1920
cs.CV,2023-05,2194
cs.CV,2023-06,1945
cs.CV,2023-07,1896
cs.CV,2023-08,2285
cs.CV,2023-09,2022
cs.CV,2023-10,2079
cs.CV,2023-11,2361
cs.CV,2023-12,2457
cs.CV,2024-01,1882
cs.CV,2024-02,1844
cs.CV,2024-03,3053
cs.CV,2024-04,2665
cs.CV,2024-05,2450
cs.CV,2024-06,2437
cs.CV,2024-07,2986
cs.CV,2024-08,2211
cs.CV,2024-09,2576
cs.CV,2024-10,2797
cs.CV,2024-11,2614
cs.CV,2024-12,3161
cs.CV,2025-01,2116
cs.CV,2025-02,2200
cs.CV,2025-03,3905
cs.CV,2025-04,2575
cs.CV,2025-05,3185
cs.CV,2025-06,3130
cs.CV,2025-07,2880
cs.CV,2025-08,2908
cs.CV,2025-09,3059
cs.CV,2025-10,2884
cs.CV,2025-11,3114
cs.CV,2025-12,3063
cs.CV,2026-01,2301
cs.CV,2026-02,2662
cs.CV,2026-03,4180
cs.CV,2026-04,3262
cs.CV,2026-05,3827
cs.CV,2026-06,3505
cs.CC,2019-01,47
cs.CC,2019-02,85
cs.CC,2019-03,33
cs.CC,2019-04,75
cs.CC,2019-05,51
cs.CC,2019-06,46
cs.CC,2019-07,82
cs.CC,2019-08,54
cs.CC,2019-09,65
cs.CC,2019-10,59
cs.CC,2019-11,84
cs.CC,2019-12,53
cs.CC,2020-01,47
cs.CC,2020-02,88
cs.CC,2020-03,50
cs.CC,2020-04,63
cs.CC,2020-05,75
cs.CC,2020-06,67
cs.CC,2020-07,75
cs.CC,2020-08,63
cs.CC,2020-09,64
cs.CC,2020-10,69
cs.CC,2020-11,77
cs.CC,2020-12,66
cs.CC,2021-01,54
cs.CC,2021-02,64
cs.CC,2021-03,61
cs.CC,2021-04,58
cs.CC,2021-05,68
cs.CC,2021-06,60
cs.CC,2021-07,84
cs.CC,2021-08,56
cs.CC,2021-09,59
cs.CC,2021-10,65
cs.CC,2021-11,91
cs.CC,2021-12,56
cs.CC,2022-01,62
cs.CC,2022-02,79
cs.CC,2022-03,70
cs.CC,2022-04,46
cs.CC,2022-05,76
cs.CC,2022-06,62
cs.CC,2022-07,56
cs.CC,2022-08,54
cs.CC,2022-09,70
cs.CC,2022-10,52
cs.CC,2022-11,98
cs.CC,2022-12,47
cs.CC,2023-01,66
cs.CC,2023-02,80
cs.CC,2023-03,57
cs.CC,2023-04,65
cs.CC,2023-05,86
cs.CC,2023-06,87
cs.CC,2023-07,61
cs.CC,2023-08,47
cs.CC,2023-09,77
cs.CC,2023-10,66
cs.CC,2023-11,72
cs.CC,2023-12,75
cs.CC,2024-01,65
cs.CC,2024-02,93
cs.CC,2024-03,71
cs.CC,2024-04,90
cs.CC,2024-05,91
cs.CC,2024-06,60
cs.CC,2024-07,73
cs.CC,2024-08,61
cs.CC,2024-09,75
cs.CC,2024-10,102
cs.CC,2024-11,130
cs.CC,2024-12,66
cs.CC,2025-01,61
cs.CC,2025-02,87
cs.CC,2025-03,66
cs.CC,2025-04,99
cs.CC,2025-05,72
cs.CC,2025-06,99
cs.CC,2025-07,99
cs.CC,2025-08,52
cs.CC,2025-09,86
cs.CC,2025-10,132
cs.CC,2025-11,101
cs.CC,2025-12,81
cs.CC,2026-01,73
cs.CC,2026-02,118
cs.CC,2026-03,108
cs.CC,2026-04,125
cs.CC,2026-05,132
cs.CC,2026-06,120
cs.DS,2019-01,128
cs.DS,2019-02,175
cs.DS,2019-03,117
cs.DS,2019-04,181
cs.DS,2019-05,208
cs.DS,2019-06,130
cs.DS,2019-07,237
cs.DS,2019-08,173
cs.DS,2019-09,158
cs.DS,2019-10,185
cs.DS,2019-11,206
cs.DS,2019-12,138
cs.DS,2020-01,132
cs.DS,2020-02,230
cs.DS,2020-03,145
cs.DS,2020-04,217
cs.DS,2020-05,160
cs.DS,2020-06,212
cs.DS,2020-07,240
cs.DS,2020-08,162
cs.DS,2020-09,167
cs.DS,2020-10,190
cs.DS,2020-11,226
cs.DS,2020-12,158
cs.DS,2021-01,109
cs.DS,2021-02,189
cs.DS,2021-03,126
cs.DS,2021-04,111
cs.DS,2021-05,204
cs.DS,2021-06,222
cs.DS,2021-07,202
cs.DS,2021-08,134
cs.DS,2021-09,122
cs.DS,2021-10,167
cs.DS,2021-11,235
cs.DS,2021-12,170
cs.DS,2022-01,136
cs.DS,2022-02,158
cs.DS,2022-03,160
cs.DS,2022-04,165
cs.DS,2022-05,168
cs.DS,2022-06,167
cs.DS,2022-07,167
