category,month,count
math.AG,2017-01,214
math.AG,2017-02,173
math.AG,2017-03,287
math.AG,2017-04,184
math.AG,2017-05,238
math.AG,2017-06,238
math.AG,2017-07,196
math.AG,2017-08,237
math.AG,2017-09,210
math.AG,2017-10,232
math.AG,2017-11,251
math.AG,2017-12,217
math.AG,2018-01,223
math.AG,2018-02,230
math.AG,2018-03,229
math.AG,2018-04,234
math.AG,2018-05,233
math.AG,2018-06,203
math.AG,2018-07,230
math.AG,2018-08,217
math.AG,2018-09,240
math.AG,2018-10,267
math.AG,2018-11,219
math.AG,2018-12,230
math.AG,2019-01,201
math.AG,2019-02,208
math.AG,2019-03,235
math.AG,2019-04,246
math.AG,2019-05,241
math.AG,2019-06,227
math.AG,2019-07,254
math.AG,2019-08,207
math.AG,2019-09,278
math.AG,2019-10,291
math.AG,2019-11,243
math.AG,2019-12,268
math.AG,2020-01,198
math.AG,2020-02,257
math.AG,2020-03,273
math.AG,2020-04,248
math.AG,2020-05,236
math.AG,2020-06,277
math.AG,2020-07,264
math.AG,2020-08,226
math.AG,2020-09,245
math.AG,2020-10,264
math.AG,2020-11,247
math.AG,2020-12,294
math.AG,2021-01,243
math.AG,2021-02,213
math.AG,2021-03,281
math.AG,2021-04,207
math.AG,2021-05,241
math.AG,2021-06,243
math.AG,2021-07,268
math.AG,2021-08,257
math.AG,2021-09,219
math.AG,2021-10,231
math.AG,2021-11,269
math.AG,2021-12,296
math.AG,2022-01,221
math.AG,2022-02,218
math.AG,2022-03,263
math.AG,2022-04,197
math.AG,2022-05,235
math.AG,2022-06,228
math.AG,2022-07,244
math.AG,2022-08,266
math.AG,2022-09,253
math.AG,2022-10,269
math.AG,2022-11,267
math.AG,2022-12,239
math.AG,2023-01,244
math.AG,2023-02,236
math.AG,2023-03,301
math.AG,2023-04,217
math.AG,2023-05,260
math.AG,2023-06,275
math.AG,2023-07,250
math.AG,2023-08,258
math.AG,2023-09,277
math.AG,2023-10,314
math.AG,2023-11,261
math.AG,2023-12,296
math.AG,2024-01,288
math.AG,2024-02,252
math.AG,2024-03,288
math.AG,2024-04,269
math.AG,2024-05,294
math.AG,2024-06,247
math.AG,2024-07,278
math.AG,2024-08,232
math.AG,2024-09,276
math.AG,2024-10,340
math.AG,2024-11,272
math.AG,2024-12,324
math.AG,2025-01,284
math.AG,2025-02,260
math.AG,2025-03,288
math.AG,2025-04,287
math.AG,2025-05,283
math.AG,2025-06,290
math.AG,2025-07,296
math.AG,2025-08,265
math.AG,2025-09,365
math.AG,2025-10,380
math.AG,2025-11,327
math.AG,2025-12,354
math.AG,2026-01,294
math.AG,2026-02,334
math.AG,2026-03,346
math.AG,2026-04,351
math.AG,2026-05,377
math.AG,2026-06,349
math.AT,2017-01,53
math.AT,2017-02,67
math.AT,2017-03,78
math.AT,2017-04,66
math.AT,2017-05,71
math.AT,2017-06,69
math.AT,2017-07,66
math.AT,2017-08,82
math.AT,2017-09,62
math.AT,2017-10,85
math.AT,2017-11,79
math.AT,2017-12,86
math.AT,2018-01,84
math.AT,2018-02,75
math.AT,2018-03,61
math.AT,2018-04,59
math.AT,2018-05,69
math.AT,2018-06,50
math.AT,2018-07,78
math.AT,2018-08,72
math.AT,2018-09,89
math.AT,2018-10,103
math.AT,2018-11,90
math.AT,2018-12,90
math.AT,2019-01,57
math.AT,2019-02,66
math.AT,2019-03,73
math.AT,2019-04,91
math.AT,2019-05,95
math.AT,2019-06,71
math.AT,2019-07,97
math.AT,2019-08,76
math.AT,2019-09,84
math.AT,2019-10,92
math.AT,2019-11,95
math.AT,2019-12,95
math.AT,2020-01,91
math.AT,2020-02,89
math.AT,2020-03,80
math.AT,2020-04,78
math.AT,2020-05,77
math.AT,2020-06,102
math.AT,2020-07,97
math.AT,2020-08,81
math.AT,2020-09,78
math.AT,2020-10,83
math.AT,2020-11,98
math.AT,2020-12,95
math.AT,2021-01,64
math.AT,2021-02,73
math.AT,2021-03,95
math.AT,2021-04,75
math.AT,2021-05,90
math.AT,2021-06,95
math.AT,2021-07,89
math.AT,2021-08,76
math.AT,2021-09,89
math.AT,2021-10,85
math.AT,2021-11,87
math.AT,2021-12,90
math.AT,2022-01,76
math.AT,2022-02,81
math.AT,2022-03,103
math.AT,2022-04,75
math.AT,2022-05,85
math.AT,2022-06,80
math.AT,2022-07,84
math.AT,2022-08,97
math.AT,2022-09,90
math.AT,2022-10,98
math.AT,2022-11,96
math.AT,2022-12,84
math.AT,2023-01,86
math.AT,2023-02,80
math.AT,2023-03,107
math.AT,2023-04,73
math.AT,2023-05,96
math.AT,2023-06,99
math.AT,2023-07,83
math.AT,2023-08,100
math.AT,2023-09,79
math.AT,2023-10,115
math.AT,2023-11,105
math.AT,2023-12,108
math.AT,2024-01,79
math.AT,2024-02,87
math.AT,2024-03,85
math.AT,2024-04,82
math.AT,2024-05,100
math.AT,2024-06,105
math.AT,2024-07,95
math.AT,2024-08,88
math.AT,2024-09,75
math.AT,2024-10,115
math.AT,2024-11,109
math.AT,2024-12,91
math.AT,2025-01,74
math.AT,2025-02,67
math.AT,2025-03,97
math.AT,2025-04,87
math.AT,2025-05,102
math.AT,2025-06,98
math.AT,2025-07,100
math.AT,2025-08,84
math.AT,2025-09,116
math.AT,2025-10,136
math.AT,2025-11,105
math.AT,2025-12,103
math.AT,2026-01,94
math.AT,2026-02,103
math.AT,2026-03,129
math.AT,2026-04,108
math.AT,2026-05,118
math.AT,2026-06,116
math.AP,2017-01,282
math.AP,2017-02,318
math.AP,2017-03,371
math.AP,2017-04,284
math.AP,2017-05,358
math.AP,2017-06,336
math.AP,2017-07,328
math.AP,2017-08,288
math.AP,2017-09,363
math.AP,2017-10,387
math.AP,2017-11,355
math.AP,2017-12,333
math.AP,2018-01,368
math.AP,2018-02,326
math.AP,2018-03,364
math.AP,2018-04,324
math.AP,2018-05,383
math.AP,2018-06,339
math.AP,2018-07,365
math.AP,2018-08,308
math.AP,2018-09,337
math.AP,2018-10,446
math.AP,2018-11,392
math.AP,2018-12,362
math.AP,2019-01,384
math.AP,2019-02,354
math.AP,2019-03,412
math.AP,2019-04,391
math.AP,2019-05,415
math.AP,2019-06,356
math.AP,2019-07,391
math.AP,2019-08,328
math.AP,2019-09,368
math.AP,2019-10,460
math.AP,2019-11,378
math.AP,2019-12,404
math.AP,2020-01,368
math.AP,2020-02,352
math.AP,2020-03,454
math.AP,2020-04,436
math.AP,2020-05,443
math.AP,2020-06,488
math.AP,2020-07,442
math.AP,2020-08,370
math.AP,2020-09,411
math.AP,2020-10,429
math.AP,2020-11,409
math.AP,2020-12,440
math.AP,2021-01,350
math.AP,2021-02,371
math.AP,2021-03,472
math.AP,2021-04,423
math.AP,2021-05,402
math.AP,2021-06,428
math.AP,2021-07,456
math.AP,2021-08,394
math.AP,2021-09,428
math.AP,2021-10,383
math.AP,2021-11,457
math.AP,2021-12,441
math.AP,2022-01,435
math.AP,2022-02,380
math.AP,2022-03,479
math.AP,2022-04,425
math.AP,2022-05,402
math.AP,2022-06,393
math.AP,2022-07,411
math.AP,2022-08,389
math.AP,2022-09,387
math.AP,2022-10,464
math.AP,2022-11,417
math.AP,2022-12,407
math.AP,2023-01,402
math.AP,2023-02,372
math.AP,2023-03,444
math.AP,2023-04,437
math.AP,2023-05,483
math.AP,2023-06,437
math.AP,2023-07,414
math.AP,2023-08,432
math.AP,2023-09,431
math.AP,2023-10,528
math.AP,2023-11,462
math.AP,2023-12,402
math.AP,2024-01,498
math.AP,2024-02,466
math.AP,2024-03,452
math.AP,2024-04,479
math.AP,2024-05,494
math.AP,2024-06,431
math.AP,2024-07,536
math.AP,2024-08,417
math.AP,2024-09,502
math.AP,2024-10,491
math.AP,2024-11,498
math.AP,2024-12,515
math.AP,2025-01,496
math.AP,2025-02,470
math.AP,2025-03,488
math.AP,2025-04,499
math.AP,2025-05,501
math.AP,2025-06,461
math.AP,2025-07,571
math.AP,2025-08,423
math.AP,2025-09,549
math.AP,2025-10,542
math.AP,2025-11,522
math.AP,2025-12,611
math.AP,2026-01,503
math.AP,2026-02,546
math.AP,2026-03,691
math.AP,2026-04,605
math.AP,2026-05,586
math.AP,2026-06,674
math.CT,2017-01,37
math.CT,2017-02,38
math.CT,2017-03,42
math.CT,2017-04,37
math.CT,2017-05,28
math.CT,2017-06,36
math.CT,2017-07,41
math.CT,2017-08,31
math.CT,2017-09,40
math.CT,2017-10,45
math.CT,2017-11,39
math.CT,2017-12,32
math.CT,2018-01,36
math.CT,2018-02,34
math.CT,2018-03,44
math.CT,2018-04,36
math.CT,2018-05,49
math.CT,2018-06,29
math.CT,2018-07,38
math.CT,2018-08,45
math.CT,2018-09,44
math.CT,2018-10,44
math.CT,2018-11,34
math.CT,2018-12,48
math.CT,2019-01,33
math.CT,2019-02,45
math.CT,2019-03,48
math.CT,2019-04,54
math.CT,2019-05,47
math.CT,2019-06,46
math.CT,2019-07,55
math.CT,2019-08,44
math.CT,2019-09,41
math.CT,2019-10,61
math.CT,2019-11,58
math.CT,2019-12,45
math.CT,2020-01,53
math.CT,2020-02,45
math.CT,2020-03,49
math.CT,2020-04,54
math.CT,2020-05,69
math.CT,2020-06,70
math.CT,2020-07,51
math.CT,2020-08,39
math.CT,2020-09,43
math.CT,2020-10,65
math.CT,2020-11,50
math.CT,2020-12,48
math.CT,2021-01,48
math.CT,2021-02,60
math.CT,2021-03,60
math.CT,2021-04,49
math.CT,2021-05,81
math.CT,2021-06,46
math.CT,2021-07,62
math.CT,2021-08,46
math.CT,2021-09,52
math.CT,2021-10,52
math.CT,2021-11,54
math.CT,2021-12,49
math.CT,2022-01,49
math.CT,2022-02,56
math.CT,2022-03,52
math.CT,2022-04,54
math.CT,2022-05,76
math.CT,2022-06,53
math.CT,2022-07,62
math.CT,2022-08,65
math.CT,2022-09,54
math.CT,2022-10,56
math.CT,2022-11,63
math.CT,2022-12,55
math.CT,2023-01,63
math.CT,2023-02,54
math.CT,2023-03,81
math.CT,2023-04,61
math.CT,2023-05,74
math.CT,2023-06,57
math.CT,2023-07,55
math.CT,2023-08,57
math.CT,2023-09,48
math.CT,2023-10,57
math.CT,2023-11,69
math.CT,2023-12,59
math.CT,2024-01,71
math.CT,2024-02,50
math.CT,2024-03,71
math.CT,2024-04,84
math.CT,2024-05,68
math.CT,2024-06,73
math.CT,2024-07,68
math.CT,2024-08,60
math.CT,2024-09,56
math.CT,2024-10,78
math.CT,2024-11,73
math.CT,2024-12,60
math.CT,2025-01,60
math.CT,2025-02,69
math.CT,2025-03,83
math.CT,2025-04,55
math.CT,2025-05,72
math.CT,2025-06,67
math.CT,2025-07,62
math.CT,2025-08,58
math.CT,2025-09,71
math.CT,2025-10,85
math.CT,2025-11,69
math.CT,2025-12,71
math.CT,2026-01,68
math.CT,2026-02,86
math.CT,2026-03,74
math.CT,2026-04,82
math.CT,2026-05,91
math.CT,2026-06,91
math.CA,2017-01,127
math.CA,2017-02,114
math.CA,2017-03,135
math.CA,2017-04,106
math.CA,2017-05,149
math.CA,2017-06,112
math.CA,2017-07,108
math.CA,2017-08,114
math.CA,2017-09,102
math.CA,2017-10,141
math.CA,2017-11,120
math.CA,2017-12,134
math.CA,2018-01,143
math.CA,2018-02,98
math.CA,2018-03,124
math.CA,2018-04,132
math.CA,2018-05,110
math.CA,2018-06,98
math.CA,2018-07,109
math.CA,2018-08,114
math.CA,2018-09,96
math.CA,2018-10,125
math.CA,2018-11,120
math.CA,2018-12,120
math.CA,2019-01,157
math.CA,2019-02,96
math.CA,2019-03,102
math.CA,2019-04,111
math.CA,2019-05,131
math.CA,2019-06,95
math.CA,2019-07,148
math.CA,2019-08,100
math.CA,2019-09,113
math.CA,2019-10,128
math.CA,2019-11,82
math.CA,2019-12,137
math.CA,2020-01,118
math.CA,2020-02,108
math.CA,2020-03,111
math.CA,2020-04,108
math.CA,2020-05,134
math.CA,2020-06,153
math.CA,2020-07,118
math.CA,2020-08,117
math.CA,2020-09,125
math.CA,2020-10,110
math.CA,2020-11,120
math.CA,2020-12,136
math.CA,2021-01,112
math.CA,2021-02,90
math.CA,2021-03,106
math.CA,2021-04,105
math.CA,2021-05,99
math.CA,2021-06,109
math.CA,2021-07,126
math.CA,2021-08,99
math.CA,2021-09,124
math.CA,2021-10,101
math.CA,2021-11,98
math.CA,2021-12,130
math.CA,2022-01,102
math.CA,2022-02,106
math.CA,2022-03,147
math.CA,2022-04,100
math.CA,2022-05,121
math.CA,2022-06,92
math.CA,2022-07,88
math.CA,2022-08,100
math.CA,2022-09,117
math.CA,2022-10,137
math.CA,2022-11,107
math.CA,2022-12,95
math.CA,2023-01,106
math.CA,2023-02,99
math.CA,2023-03,99
math.CA,2023-04,107
math.CA,2023-05,116
math.CA,2023-06,113
math.CA,2023-07,125
math.CA,2023-08,100
math.CA,2023-09,120
math.CA,2023-10,107
math.CA,2023-11,122
math.CA,2023-12,115
math.CA,2024-01,115
math.CA,2024-02,125
math.CA,2024-03,104
math.CA,2024-04,118
math.CA,2024-05,112
math.CA,2024-06,99
math.CA,2024-07,148
math.CA,2024-08,90
math.CA,2024-09,111
math.CA,2024-10,134
math.CA,2024-11,122
math.CA,2024-12,149
math.CA,2025-01,126
math.CA,2025-02,133
math.CA,2025-03,127
math.CA,2025-04,105
math.CA,2025-05,114
math.CA,2025-06,109
math.CA,2025-07,114
math.CA,2025-08,129
math.CA,2025-09,145
math.CA,2025-10,125
math.CA,2025-11,114
math.CA,2025-12,103
math.CA,2026-01,121
math.CA,2026-02,87
math.CA,2026-03,135
math.CA,2026-04,125
math.CA,2026-05,132
math.CA,2026-06,174
math.CO,2017-01,339
math.CO,2017-02,284
math.CO,2017-03,342
math.CO,2017-04,270
math.CO,2017-05,382
math.CO,2017-06,313
math.CO,2017-07,319
math.CO,2017-08,344
math.CO,2017-09,349
math.CO,2017-10,352
math.CO,2017-11,354
